source,target,datetime
CGraciaLazaro,cosnet_bifi,2018-06-11 18:01:02+00:00
DAPSworkshop,lucpappalard,2018-06-11 14:55:10+00:00
DmeIntelligence,ciro,2018-06-12 09:30:48+00:00
Eufmd,k_vanderwaal,2018-06-12 06:56:11+00:00
FerraginaTeach,quant_success,2018-06-11 21:08:01+00:00
FranciscoICMC,cosnet_bifi,2018-06-12 08:09:07+00:00
GapDataInst,JacobBiamonte,2018-06-12 08:53:25+00:00
Giuseppe_Jurman,a_baronca,2018-06-11 16:18:11+00:00
Giuseppe_Jurman,a_baronca,2018-06-11 16:18:28+00:00
GuidoCaldarelli,vcolizza,2018-06-12 05:15:04+00:00
IFISC_mallorca,MassimoSt,2018-06-12 08:16:59+00:00
IRCSNS,cosnet_bifi,2018-06-12 08:56:00+00:00
IRCSNS,fariba_k,2018-06-12 08:53:07+00:00
ISI_Fondazione,ciro,2018-06-12 08:00:16+00:00
JeroenJGGeurts,LindaDouw,2018-06-11 18:25:51+00:00
LHDnets,_jgyou,2018-06-12 09:29:57+00:00
Machine_Leaning,PiratePeel,2018-06-11 15:44:43+00:00
MangioniG,PiratePeel,2018-06-12 08:09:39+00:00
MangioniG,cosnet_bifi,2018-06-12 08:09:51+00:00
NetSciX,tinaeliassi,2018-06-11 15:53:01+00:00
NetSciX,vcolizza,2018-06-11 15:02:45+00:00
PLOSNTDs,PLOSONE,2018-06-11 16:11:08+00:00
ParagonSci_Inc,IacopoIacopini,2018-06-11 15:03:41+00:00
ParagonSci_Inc,emanudelfava,2018-06-11 17:53:30+00:00
QuTech_news,JacobBiamonte,2018-06-12 07:12:18+00:00
RenaudLambiotte,PiratePeel,2018-06-11 18:14:19+00:00
RowlandKao,vcolizza,2018-06-12 06:54:10+00:00
Sandro_Meloni,vcolizza,2018-06-12 07:20:21+00:00
Sanz_Jq,cosnet_bifi,2018-06-12 00:31:03+00:00
SebinoStram,dan_marinazzo,2018-06-11 21:20:33+00:00
Shugars,PiratePeel,2018-06-12 00:31:36+00:00
Shugars,svscarpino,2018-06-12 01:19:22+00:00
SoBigData,lucpappalard,2018-06-11 14:55:02+00:00
SoBigData,lucpappalard,2018-06-11 16:03:06+00:00
SoBigData,lucpappalard,2018-06-11 16:04:05+00:00
SoBigData,lucpappalard,2018-06-11 16:04:20+00:00
SoBigData,lucpappalard,2018-06-11 16:04:28+00:00
SoBigData,lucpappalard,2018-06-11 16:05:44+00:00
SoBigData,lucpappalard,2018-06-11 16:05:59+00:00
SoBigData,lucpappalard,2018-06-11 16:10:31+00:00
SoBigData,quant_success,2018-06-11 16:03:40+00:00
SoBigData,quant_success,2018-06-11 16:05:01+00:00
SoBigData,quant_success,2018-06-11 16:05:29+00:00
Tatmann9,PiratePeel,2018-06-11 14:28:14+00:00
TheRealShankar,NetContagions,2018-06-12 04:04:06+00:00
TheRealShankar,PiratePeel,2018-06-12 04:04:15+00:00
TjibbeD,svscarpino,2018-06-12 09:18:00+00:00
USC_ISI,ciro,2018-06-11 23:48:58+00:00
_AlexArenas,vcolizza,2018-06-11 18:21:04+00:00
_jgyou,PiratePeel,2018-06-11 16:19:39+00:00
amarchenkova,JacobBiamonte,2018-06-12 01:36:36+00:00
amniekamp,mtizzoni,2018-06-11 21:55:15+00:00
anduviera,KoljaKleineberg,2018-06-11 15:32:18+00:00
anduviera,jelenagrr,2018-06-12 08:50:51+00:00
bigdatatales,lucpappalard,2018-06-11 14:55:13+00:00
ccs18gr,elisa_omodei,2018-06-12 08:37:16+00:00
christinina13,mtizzoni,2018-06-11 22:12:26+00:00
ciro,ISI_Fondazione,2018-06-11 14:41:56+00:00
ciro,mtizzoni,2018-06-12 07:43:19+00:00
ciro,svscarpino,2018-06-11 14:50:38+00:00
coletti_pietro,cosnet_bifi,2018-06-12 07:10:40+00:00
cosnet_bifi,ISI_Fondazione,2018-06-11 14:42:18+00:00
cosnet_bifi,jacrickets,2018-06-12 08:24:56+00:00
dan_marinazzo,PiratePeel,2018-06-11 17:04:57+00:00
dc_moyer,dan_marinazzo,2018-06-11 21:33:39+00:00
deaneckles,oneofyen,2018-06-11 17:26:42+00:00
droneale,PiratePeel,2018-06-11 20:39:52+00:00
droneale,aaronclauset,2018-06-12 07:37:02+00:00
droneale,vcolizza,2018-06-12 05:36:51+00:00
dstan151,mtizzoni,2018-06-11 22:57:16+00:00
emanudelfava,mtizzoni,2018-06-12 08:28:34+00:00
eugeValdano,vcolizza,2018-06-11 20:53:10+00:00
ewancolman,sdwfrost,2018-06-11 16:37:46+00:00
fede7j,vcolizza,2018-06-11 18:12:18+00:00
fhsalazar,lucpappalard,2018-06-11 23:59:29+00:00
figshare,Giuseppe_Jurman,2018-06-11 16:54:10+00:00
frankolken,svscarpino,2018-06-12 01:56:26+00:00
frankolken,svscarpino,2018-06-12 01:56:34+00:00
gamesevolving,jelenagrr,2018-06-12 08:48:19+00:00
jabawack,ciro,2018-06-11 17:19:34+00:00
jabawack,emanudelfava,2018-06-11 17:20:28+00:00
jelenagrr,aaronclauset,2018-06-12 08:23:32+00:00
joergheber,PLOSONE,2018-06-11 16:38:22+00:00
juniperlov,mtizzoni,2018-06-11 16:20:05+00:00
kristamenglish,NetContagions,2018-06-11 14:49:42+00:00
laetitiagvn,ciro,2018-06-12 08:09:11+00:00
lau_retti,ciro,2018-06-12 09:13:23+00:00
leriomaggio,Giuseppe_Jurman,2018-06-11 16:24:33+00:00
lgaalves,aaronclauset,2018-06-12 08:24:57+00:00
lgaalves,vcolizza,2018-06-12 08:23:10+00:00
lordgrilo,ciro,2018-06-12 08:24:46+00:00
lucpappalard,aaronclauset,2018-06-12 09:16:07+00:00
lucpappalard,ciro,2018-06-12 09:30:28+00:00
mar7k,IacopoIacopini,2018-06-11 18:15:29+00:00
marco_java,a_baronca,2018-06-11 15:09:41+00:00
marianobegue,PiratePeel,2018-06-11 20:36:48+00:00
mario_paolucci,cosnet_bifi,2018-06-11 17:06:38+00:00
martikagv,svscarpino,2018-06-11 15:21:51+00:00
mattk7,lucpappalard,2018-06-11 21:38:19+00:00
mattk7,quant_success,2018-06-11 21:38:14+00:00
mesosbrodleto,lucpappalard,2018-06-11 14:35:28+00:00
mesosbrodleto,lucpappalard,2018-06-11 14:35:54+00:00
mesosbrodleto,lucpappalard,2018-06-11 14:59:35+00:00
mstrohm,fariba_k,2018-06-12 05:17:33+00:00
mszll,lucpappalard,2018-06-11 17:02:16+00:00
mtizzoni,ciro,2018-06-12 08:02:48+00:00
mtizzoni,cosnet_bifi,2018-06-12 07:36:07+00:00
mtizzoni,vcolizza,2018-06-12 08:30:43+00:00
net_science,IacopoIacopini,2018-06-11 14:48:00+00:00
net_science,KoljaKleineberg,2018-06-11 15:12:22+00:00
netsci15,elisa_omodei,2018-06-11 14:40:49+00:00
netsci15,juniperlov,2018-06-11 14:41:42+00:00
netsci2018,Giuseppe_Jurman,2018-06-11 16:18:49+00:00
netsci2018,IceLab_umea,2018-06-12 06:48:09+00:00
