source,target,datetime
IceLab_umea,m_rosvall,2018-06-12 06:00:00+00:00
JacobBiamonte,FBKcom,2018-06-12 08:50:03+00:00
JacobBiamonte,MassimoSt,2018-06-12 08:50:03+00:00
JacobBiamonte,QuTech_news,2018-06-11 18:15:03+00:00
JacobBiamonte,manlius84,2018-06-12 08:50:03+00:00
JacobBiamonte,netsci2018,2018-06-11 18:15:03+00:00
KoljaKleineberg,fede7j,2018-06-12 08:00:15+00:00
LHDnets,chpoletto,2018-06-11 16:57:45+00:00
LHDnets,cosnet_bifi,2018-06-11 16:57:45+00:00
LHDnets,eugeValdano,2018-06-11 16:57:45+00:00
LHDnets,mtizzoni,2018-06-11 16:57:45+00:00
LHDnets,netsci2018,2018-06-11 16:57:45+00:00
LHDnets,shaipilo,2018-06-11 16:57:45+00:00
MassimoSt,IFISC_mallorca,2018-06-12 08:11:26+00:00
PiratePeel,m_rosvall,2018-06-11 16:31:58+00:00
PiratePeel,tiagopeixoto,2018-06-11 16:31:58+00:00
PiratePeel,victorveitch,2018-06-11 15:37:06+00:00
PunahaMatatini,PunahaMatatini,2018-06-12 09:28:24+00:00
aaronclauset,PiratePeel,2018-06-12 07:16:57+00:00
amiref_1991,chpoletto,2018-06-12 09:14:17+00:00
austinbenson,ProfJenNeville,2018-06-12 08:03:33+00:00
austinbenson,brunofmr,2018-06-12 08:03:33+00:00
bansallab,RowlandKao,2018-06-12 06:54:58+00:00
bansallab,TAlexPerkins,2018-06-11 17:17:03+00:00
bansallab,casey_zipfel,2018-06-11 17:17:03+00:00
bansallab,eugeValdano,2018-06-12 08:29:21+00:00
bansallab,vcolizza,2018-06-12 06:54:58+00:00
ciro,WikiResearch,2018-06-12 09:30:14+00:00
cosnet_bifi,Sanz_Jq,2018-06-11 17:02:57+00:00
cosnet_bifi,serg_arregui,2018-06-11 17:02:57+00:00
dan_marinazzo,markdhumphries,2018-06-12 08:24:34+00:00
dan_marinazzo,netsci2018,2018-06-12 08:24:34+00:00
imawla,AnaM_Triana,2018-06-12 00:29:55+00:00
jacrickets,DavidGCallejas,2018-06-12 08:31:39+00:00
jacrickets,GiBurrasca,2018-06-12 08:12:43+00:00
jacrickets,anmamago,2018-06-12 07:51:52+00:00
k_vanderwaal,RowlandKao,2018-06-12 06:53:28+00:00
lajello,mad_astronaut,2018-06-12 09:16:01+00:00
lucpappalard,fede7j,2018-06-11 14:33:28+00:00
lucpappalard,iPif,2018-06-11 14:54:39+00:00
lucpappalard,netsci2018,2018-06-11 14:33:28+00:00
lucpappalard,netsci2018,2018-06-11 14:54:39+00:00
mtizzoni,LHDnets,2018-06-11 19:53:27+00:00
mtizzoni,RowlandKao,2018-06-11 19:53:27+00:00
mtizzoni,all_are,2018-06-11 19:53:27+00:00
mtizzoni,bansallab,2018-06-11 19:53:27+00:00
mtizzoni,chpoletto,2018-06-11 19:53:27+00:00
mtizzoni,shaipilo,2018-06-11 16:26:02+00:00
mtizzoni,svscarpino,2018-06-11 19:53:27+00:00
mtizzoni,vcolizza,2018-06-11 19:53:27+00:00
oneofyen,aaronclauset,2018-06-11 16:19:07+00:00
phihoevel,eugeValdano,2018-06-12 08:33:11+00:00
pholme,laetitiagvn,2018-06-12 09:30:39+00:00
svscarpino,eugeValdano,2018-06-12 08:31:35+00:00
svscarpino,vcolizza,2018-06-12 08:31:35+00:00
tinaeliassi,ingo_S,2018-06-11 15:48:04+00:00
vcolizza,ISCPIF,2018-06-12 05:02:03+00:00
vcolizza,RowlandKao,2018-06-12 06:52:40+00:00
vcolizza,bansallab,2018-06-12 06:52:40+00:00
vcolizza,chpoletto,2018-06-12 06:58:34+00:00
vcolizza,eugeValdano,2018-06-12 08:28:53+00:00
vcolizza,phihoevel,2018-06-12 07:14:48+00:00
vcolizza,phihoevel,2018-06-12 08:21:58+00:00
